counts	probabilities	binlabel1	binlabel2	binrange_from1	binrange_from2	binrange_to1	binrange_to2	expected_probability	fold_probability
15669	0.295753114382786	4	1	71.4	0	84.2	1.26	803411697	-10.8449383220517
24741	0.466987542468856	5	1	84.2	0	98.94	1.26	1168552103	-10.7628142350925
4949	0.0934126085315213	3	1	58.6	0	71.4	1.26	361682460	-11.1993363875682
1219	0.0230086825217063	2	1	45.8	0	58.6	1.26	125280449	-11.540279244691
1792	0.0338240845602114	3	2	58.6	1.26	71.4	2.52	32569920	-9.80781212746644
1103	0.0208191770479426	4	2	71.4	1.26	84.2	2.52	72348144	-11.0912113383839
897	0.0169309173272933	2	2	45.8	1.26	58.6	2.52	11281648	-9.43963203059471
244	0.00460551151377878	5	2	84.2	1.26	98.94	2.52	105229456	-12.974485593782
172	0.00324650811627029	1	2	32.34	1.26	45.8	2.52	1510672	-9.08057066609237
151	0.00285013212533031	1	1	32.34	0	45.8	1.26	16775711	-11.6181627876096
627	0.0118346545866365	3	3	58.6	2.52	71.4	3.78	10371600	-9.71363531889581
385	0.00726689316723292	2	3	45.8	2.52	58.6	3.78	3592540	-9.14112669689313
130	0.00245375613439034	2	4	45.8	3.78	58.6	5.04	1573747	-9.40143550760847
31	0.000585126462816157	1	3	32.34	2.52	45.8	3.78	481060	-9.64976007694809
279	0.00526613816534541	4	3	71.4	2.52	84.2	3.78	23038620	-11.3214707143434
314	0.00592676481691204	3	4	58.6	3.78	71.4	5.04	4543380	-9.57978880050362
3	0.0000566251415628539	1	4	32.34	3.78	45.8	5.04	210733	-11.1597349196483
18	0.000339750849377123	5	3	84.2	2.52	98.94	3.78	33509380	-14.4369641997064
136	0.00256700641751604	4	4	71.4	3.78	84.2	5.04	10092291	-11.2146275373119
58	0.00109475273688184	3	5	58.6	5.04	71.4	6.426	897840	-9.64730414714372
6	0.000113250283125708	4	5	71.4	5.04	84.2	6.426	1994388	-12.7140883250982
50	0.000943752359380898	2	5	45.8	5.04	58.6	6.426	310996	-8.73551232391418
4	0.0000755001887504719	5	4	84.2	3.78	98.94	5.04	14679109	-15.1156415233659
2	0.0000377500943752359	1	5	32.34	5.04	45.8	6.426	41644	-9.9437653990347
