counts	probabilities	binlabel1	binlabel2	binrange_from1	binrange_from2	binrange_to1	binrange_to2	expected_probability	fold_probability
4425	0.0835220838052095	1	1	25.8916	0	36.5	7.6	186107712	-10.6468106033978
13302	0.251075877689694	2	1	36.5	0	46.58	7.6	667117248	-10.8228066936953
2606	0.0491883729709324	2	2	36.5	7.6	46.58	15.2	174367838	-11.1111058796102
818	0.0154397885994715	2	3	36.5	15.2	46.58	22.8	44218728	-10.8977966311125
229	0.00432238580596451	1	2	25.8916	7.6	36.5	15.2	48643922	-12.2663154220409
4558	0.0860324650811627	3	2	46.58	7.6	56.66	15.2	196275220	-10.6703892061187
1307	0.0246696866742167	3	3	46.58	15.2	56.66	22.8	49774320	-10.5475200327203
12891	0.243318233295583	3	1	46.58	0	56.66	7.6	750933120	-10.9725424787258
172	0.00324650811627029	3	4	46.58	22.8	56.66	30.4	6022920	-10.4635882727068
94	0.00177425443563609	2	4	36.5	22.8	46.58	30.4	5350668	-10.9494371886209
6	0.000113250283125708	2	5	36.5	30.4	46.58	38.76	386998	-11.0744153348119
12	0.000226500566251416	3	5	46.58	30.4	56.66	38.76	435620	-10.4996189328812
384	0.0072480181200453	4	3	56.66	15.2	66.74	22.8	28695132	-11.2215954970308
2383	0.0449792374480936	4	2	56.66	7.6	66.74	15.2	113153597	-10.7681412420995
38	0.000717251793129483	1	3	25.8916	15.2	36.5	22.8	12335832	-12.6904325962891
2	0.0000377500943752359	1	4	25.8916	22.8	36.5	30.4	1492692	-13.5229445786312
8098	0.15285013212533	4	1	56.66	0	66.74	7.6	432916512	-10.8866830578508
49	0.000924877312193281	4	4	56.66	22.8	66.74	30.4	3472242	-11.1684907546836
932	0.0175915439788599	5	1	66.74	0	78.3564	7.6	63476448	-11.12884668274
587	0.0110796526991317	5	2	66.74	7.6	78.3564	15.2	16591163	-10.2493559423528
81	0.00152887882219706	5	3	66.74	15.2	78.3564	22.8	4207428	-10.8579129379288
1	0.000018875047187618	5	4	66.74	22.8	78.3564	30.4	509118	-13.1404350957769
5	0.0000943752359380898	4	5	56.66	30.4	66.74	38.76	251137	-10.8243159735091
