counts	probabilities	binlabel1	binlabel2	binrange_from1	binrange_from2	binrange_to1	binrange_to2	expected_probability	fold_probability
15269	0.288203095507739	4	1	71.4	0	84.2	214.2	790912386	-10.8551178478233
24705	0.466308040770102	5	1	84.2	0	98.94	214.2	1150372014	-10.7485902861648
4768	0.0899962249905625	3	1	58.6	0	71.4	214.2	356055480	-11.2209149106255
1429	0.0269724424311061	4	2	71.4	214.2	84.2	428.4	68720421	-10.7808267840013
262	0.00494526236315591	5	2	84.2	214.2	98.94	428.4	99952979	-12.8518659196079
1148	0.0216685541713854	2	1	45.8	0	58.6	214.2	123331362	-11.5846087141434
682	0.0128727821819555	2	2	45.8	214.2	58.6	428.4	10715957	-9.66221483910382
1551	0.0292751981879955	3	2	58.6	214.2	71.4	428.4	30936780	-9.90080116211856
319	0.00602114005285013	4	3	71.4	428.4	84.2	642.6	30672312	-11.473679813575
830	0.0156662891657229	3	3	58.6	428.4	71.4	642.6	13808160	-9.71934457893308
162	0.00305775764439411	4	4	71.4	642.6	84.2	856.8	17399316	-11.5843451178349
467	0.00881464703661759	2	3	45.8	428.4	58.6	642.6	4782904	-9.23422919370702
140	0.00264250660626652	1	3	32.34	428.4	45.8	642.6	640456	-8.42829327901893
73	0.00137787844469611	1	2	32.34	214.2	45.8	428.4	1434923	-9.88616230605121
112	0.00211400528501321	1	1	32.34	0	45.8	214.2	16514718	-11.9012636699801
28	0.000528501321253303	5	3	84.2	428.4	98.94	642.6	44612488	-14.2813198676224
306	0.0057757644394111	2	4	45.8	642.6	58.6	856.8	2713172	-9.09004388613099
29	0.000547376368440921	1	4	32.34	642.6	45.8	856.8	363308	-9.43571040834922
505	0.00953189882974707	3	4	58.6	642.6	71.4	856.8	7832880	-9.64928238715582
86	0.00162325405813515	3	5	58.6	856.8	71.4	1092.42	1431900	-9.72016549540859
78	0.0014722536806342	2	5	45.8	856.8	58.6	1092.42	495985	-8.75759213662469
5	0.0000943752359380898	1	5	32.34	856.8	45.8	1092.42	66415	-9.4942403011325
10	0.00018875047187618	5	4	84.2	642.6	98.94	856.8	25307084	-14.744009821511
14	0.000264250660626652	4	5	71.4	856.8	84.2	1092.42	3180705	-12.3335560986829
2	0.0000377500943752359	5	5	84.2	856.8	98.94	1092.42	4626295	-14.654119709176
