counts	probabilities	binlabel1	binlabel2	binrange_from1	binrange_from2	binrange_to1	binrange_to2	expected_probability	fold_probability
45304	0.855115137787844	1	1	0	0	214.2	1.26	2149627458	-10.7674097809296
1370	0.0258588146470366	2	1	214.2	0	428.4	1.26	186775813	-11.8228535758254
55	0.00103812759531899	3	1	428.4	0	642.6	1.26	83364536	-14.2314003638438
1186	0.0223858059645149	3	2	428.4	1.26	642.6	2.52	7507072	-8.75301448799983
2238	0.042242355605889	2	2	214.2	1.26	428.4	2.52	16819376	-8.924704224257
98	0.00184975462438656	4	2	642.6	1.26	856.8	2.52	4258496	-10.6794591255944
685	0.0129294073235183	1	2	0	1.26	214.2	2.52	193576416	-12.5517640689423
447	0.00843714609286523	4	3	642.6	2.52	856.8	3.78	1356080	-8.0175501481788
461	0.00870139675349188	3	3	428.4	2.52	642.6	3.78	2390560	-8.55364016308826
47	0.000887127217818045	5	3	856.8	2.52	1092.42	3.78	247900	-8.57063311631322
373	0.0070403926009815	2	3	214.2	2.52	428.4	3.78	5355980	-9.57214583201247
103	0.00194412986032465	5	4	856.8	3.78	1092.42	5.04	108595	-6.96065165667679
1	0.000018875047187618	5	2	856.8	1.26	1092.42	2.52	778480	-13.5650985794959
386	0.00728576821442054	4	4	642.6	3.78	856.8	5.04	594044	-7.33887130021068
12	0.000226500566251416	1	3	0	2.52	214.2	3.78	61642680	-15.4519583959439
81	0.00152887882219706	3	4	428.4	3.78	642.6	5.04	1047208	-9.46718897829561
81	0.00152887882219706	4	5	642.6	5.04	856.8	6.426	117392	-7.27882488628134
34	0.000641751604379011	5	5	856.8	5.04	1092.42	6.426	21460	-6.44758549156853
16	0.000302000755001888	2	4	214.2	3.78	428.4	5.04	2346239	-11.8957354562996
1	0.000018875047187618	3	5	428.4	5.04	642.6	6.426	206944	-12.2402035042463
1	0.000018875047187618	1	4	0	3.78	214.2	5.04	27003174	-17.111464972615
