counts	probabilities	binlabel1	binlabel2	binrange_from1	binrange_from2	binrange_to1	binrange_to2	expected_probability	fold_probability
19431	0.366761041902605	3	1	29.4998794	0	29.8967626	1.26	1055888484	-10.9030234065304
6611	0.124782936957342	2	1	29.1029962	0	29.4998794	1.26	329299263	-10.8159873019297
15773	0.297716119290298	4	1	29.8967626	0	30.2936458	1.26	848692098	-10.8931521176986
3342	0.0630804077010192	5	1	30.2936458	0	31.30433958	1.26	168364587	-10.827317637529
1572	0.0296715741789354	1	1	28.13199074	0	29.1029962	1.26	73457988	-10.7521202359363
2046	0.0386183465458664	3	2	29.4998794	1.26	29.8967626	2.52	95083968	-10.7466289863511
331	0.00624764061910155	2	2	29.1029962	1.26	29.4998794	2.52	29653776	-11.4029816523675
250	0.00471876179690449	5	2	30.2936458	1.26	31.30433958	2.52	15161424	-11.0128039473034
1581	0.029841449603624	4	2	29.8967626	1.26	30.2936458	2.52	76425696	-10.7860166954578
769	0.0145149112872782	3	3	29.4998794	2.52	29.8967626	3.78	30278640	-10.5808621018845
94	0.00177425443563609	2	3	29.1029962	2.52	29.4998794	3.78	9442980	-11.517487384002
466	0.00879577198942997	4	3	29.8967626	2.52	30.2936458	3.78	24337080	-10.8633260370691
244	0.00460551151377878	4	4	29.8967626	3.78	30.2936458	5.04	10661094	-10.6849433727847
332	0.00626651566628917	3	4	29.4998794	3.78	29.8967626	5.04	13263852	-10.5954180293568
11	0.000207625519063798	2	4	29.1029962	3.78	29.4998794	5.04	4136589	-12.8374868203567
98	0.00184975462438656	4	5	29.8967626	5.04	30.2936458	6.426	2106792	-9.97570949068557
18	0.000339750849377123	3	5	29.4998794	5.04	29.8967626	6.426	2621136	-11.8887466116554
11	0.000207625519063798	5	3	30.2936458	2.52	31.30433958	3.78	4828020	-12.9920517308947
