counts	probabilities	binlabel1	binlabel2	binrange_from1	binrange_from2	binrange_to1	binrange_to2	expected_probability	fold_probability
19226	0.362891657229143	3	1	29.4998794	0	29.8967626	214.2	1039461192	-10.8979495226063
6536	0.123367308418271	2	1	29.1029962	0	29.4998794	214.2	324176094	-10.8117167895741
15515	0.292846357115893	4	1	29.8967626	0	30.2936458	214.2	835488324	-10.8939643541542
1493	0.0281804454511136	4	2	29.8967626	214.2	30.2936458	428.4	72593514	-10.7918433394219
3186	0.0601359003397509	5	1	30.2936458	0	31.30433958	214.2	165745206	-10.859440773065
250	0.00471876179690449	5	2	30.2936458	214.2	31.30433958	428.4	14401191	-10.9613605515972
340	0.00641751604379011	2	2	29.1029962	214.2	29.4998794	428.4	28166859	-11.3247110144281
1539	0.0290486976217441	1	1	28.13199074	0	29.1029962	214.2	72315144	-10.7576559919372
1881	0.0355039637599094	3	2	29.4998794	214.2	29.8967626	428.4	90316212	-10.7792687078554
788	0.014873537183843	3	3	29.4998794	428.4	29.8967626	642.6	40311264	-10.8426434017272
583	0.0110041525103813	3	4	29.4998794	642.6	29.8967626	856.8	22867152	-10.5770248419421
109	0.00205738014345036	2	3	29.1029962	428.4	29.4998794	642.6	12571848	-11.6556227042378
167	0.0031521328803322	5	3	30.2936458	428.4	31.30433958	642.6	6427752	-10.5581416114713
720	0.0135900339750849	4	3	29.8967626	428.4	30.2936458	642.6	32401008	-10.7144488793796
379	0.00715364288410721	4	4	29.8967626	642.6	30.2936458	856.8	18379944	-10.7892344230148
50	0.000943752359380898	2	4	29.1029962	642.6	29.4998794	856.8	7131564	-11.8680181177463
12	0.000226500566251416	2	5	29.1029962	856.8	29.4998794	1092.42	1303695	-11.5958064486173
55	0.00103812759531899	4	5	29.8967626	856.8	30.2936458	1092.42	3359970	-11.0201094180956
118	0.00222725556813892	3	5	29.4998794	856.8	29.8967626	1092.42	4180260	-10.4751993790578
33	0.000622876557191393	1	2	28.13199074	214.2	29.1029962	428.4	6283284	-12.156895770234
