counts	probabilities	binlabel1	binlabel2	binrange_from1	binrange_from2	binrange_to1	binrange_to2	expected_probability	fold_probability
35668	0.673235183087958	1	1	0	0	7.6	214.2	1823887296	-10.842226729961
7951	0.15007550018875	2	1	7.6	0	15.2	214.2	476718726	-11.0013842160697
2081	0.039278973197433	3	1	15.2	0	22.8	214.2	120893256	-10.9698147059978
2484	0.046885617214043	1	2	0	214.2	7.6	428.4	158473056	-11.0634697000868
279	0.00526613816534541	4	1	22.8	0	30.4	214.2	14628636	-10.8672797537458
23	0.000434126085315213	5	1	30.4	0	38.76	214.2	1058046	-10.7364401527869
268	0.00505851264628162	3	2	15.2	214.2	22.8	428.4	10504116	-10.576290757805
1233	0.023272933182333	2	2	7.6	214.2	15.2	428.4	41420911	-10.4220909047312
12	0.000226500566251416	4	2	22.8	214.2	30.4	428.4	1271046	-11.5704440917035
704	0.0132880332200831	2	3	7.6	428.4	15.2	642.6	18487592	-10.1758320061661
951	0.0179501698754247	1	3	0	428.4	7.6	642.6	70732032	-11.2168950350234
121	0.00228388070970177	3	3	15.2	428.4	22.8	642.6	4688352	-10.5648011471477
384	0.0072480181200453	2	4	7.6	642.6	15.2	856.8	10487356	-10.2150383464439
8	0.000151000377500944	4	3	22.8	428.4	30.4	642.6	567312	-11.1692231542403
129	0.00243488108720272	3	4	15.2	642.6	22.8	856.8	2659536	-9.93384982509024
483	0.00911664779161948	1	4	0	642.6	7.6	856.8	40123776	-11.3274629806237
29	0.000547376368440921	3	5	15.2	856.8	22.8	1092.42	486180	-9.72703837469635
91	0.00171762929407324	2	5	7.6	856.8	15.2	1092.42	1917155	-9.95549336774569
16	0.000302000755001888	4	4	22.8	642.6	30.4	856.8	321816	-9.90914651038781
3	0.0000566251415628539	4	5	22.8	856.8	30.4	1092.42	58830	-9.88379491919039
62	0.00117025292563231	1	5	0	856.8	7.6	1092.42	7334880	-11.6810172244621
