counts	probabilities	binlabel1	binlabel2	binrange_from1	binrange_from2	binrange_to1	binrange_to2	expected_probability	fold_probability
4680	0.0883352208380521	1	1	25.8916	0	36.5	1.26	219345926	-10.7551072234356
16716	0.315515288788222	2	1	36.5	0	46.58	1.26	786262154	-10.7586792004792
17186	0.324386560966402	3	1	46.58	0	56.66	1.26	885047260	-10.8493012248032
7764	0.146545866364666	4	1	56.66	0	66.74	1.26	510233951	-11.0931269616615
1479	0.027916194790487	3	2	46.58	1.26	56.66	2.52	79699520	-10.8946526584468
110	0.00207625519063798	2	2	36.5	1.26	46.58	2.52	70803808	-13.3749429767359
14	0.000264250660626652	1	2	25.8916	1.26	36.5	2.52	19752352	-14.1597258012133
2116	0.0399395998489996	4	2	56.66	1.26	66.74	2.52	45947152	-9.98571963145342
263	0.00496413741034353	3	3	46.58	2.52	56.66	3.78	25379600	-11.4773022275073
774	0.0146092865232163	4	3	56.66	2.52	66.74	3.78	14631460	-9.8471126893693
250	0.00471876179690449	4	4	56.66	3.78	66.74	5.04	6409453	-10.1518235719799
12	0.000226500566251416	3	4	46.58	3.78	56.66	5.04	11117780	-13.7391495367802
15	0.00028312570781427	4	5	56.66	5.04	66.74	6.426	1266604	-11.3437996600182
325	0.00613439033597584	5	4	66.74	3.78	78.3564	5.04	939787	-7.96958335049507
303	0.00571913929784825	5	3	66.74	2.52	78.3564	3.78	2145340	-8.8650758004323
489	0.00922989807474519	5	2	66.74	1.26	78.3564	2.52	6737008	-9.53076397793939
383	0.00722914307285768	5	1	66.74	0	78.3564	1.26	74813129	-12.1824689597524
101	0.00190637976594941	5	5	66.74	5.04	78.3564	6.426	185716	-7.51685338726182
