counts	probabilities	binlabel1	binlabel2	binrange_from1	binrange_from2	binrange_to1	binrange_to2	expected_probability	fold_probability
12014	0.226764816912042	4	1	71.4	0	84.2	7.6	681668064	-10.9462254722386
21512	0.406040015100038	5	1	84.2	0	98.94	7.6	991477536	-10.7383406511378
2896	0.0546621366553416	5	2	84.2	7.6	98.94	15.2	259147541	-11.4018223603363
1108	0.0209135522838807	4	3	71.4	15.2	84.2	22.8	45183204	-10.6159241155171
3897	0.0735560588901472	4	2	71.4	7.6	84.2	15.2	178171059	-10.7302923470654
4512	0.0851642129105323	3	1	58.6	0	71.4	7.6	306875520	-11.1274569578347
2448	0.0462061155152888	3	2	58.6	7.6	71.4	15.2	80209620	-10.3971273721358
1418	0.0267648169120423	2	1	45.8	0	58.6	7.6	106296288	-11.2247382155728
529	0.0099848999622499	5	3	84.2	15.2	98.94	22.8	65718396	-11.7299010124039
64	0.00120800302000755	5	4	84.2	22.8	98.94	30.4	7952226	-11.7300793640782
160	0.00302000755001887	4	4	71.4	22.8	84.2	30.4	5467374	-10.4391351707662
701	0.0132314080785202	3	3	58.6	15.2	71.4	22.8	20340720	-10.2756274591537
76	0.00143450358625897	3	4	58.6	22.8	71.4	30.4	2461320	-10.3854750090776
3	0.0000566251415628539	3	5	58.6	30.4	71.4	38.76	178020	-10.9910388938448
14	0.000264250660626652	4	5	71.4	30.4	84.2	38.76	395439	-10.2486944895337
6	0.000113250283125708	5	5	84.2	30.4	98.94	38.76	575161	-11.4706458113587
987	0.0186296715741789	2	2	45.8	7.6	58.6	15.2	27783203	-10.2452721479867
262	0.00494526236315591	2	3	45.8	15.2	58.6	22.8	7045668	-10.1995790140794
14	0.000264250660626652	2	4	45.8	22.8	58.6	30.4	852558	-11.0169391914009
192	0.00362400906002265	1	1	32.34	0	45.8	7.6	14233632	-11.2136228008894
28	0.000528501321253303	1	3	32.34	15.2	45.8	22.8	943452	-10.4250962579176
135	0.00254813137032843	1	2	32.34	7.6	45.8	15.2	3720317	-10.2240446592341
4	0.0000755001887504719	1	4	32.34	22.8	45.8	30.4	114162	-10.2590794101486
