counts	probabilities	binlabel1	binlabel2	binrange_from1	binrange_from2	binrange_to1	binrange_to2	expected_probability	fold_probability
36096	0.681313703284258	1	1	0	0	7.6	1.26	1852711392	-10.8459786855074
8161	0.15403926009815	2	1	7.6	0	15.2	1.26	484252627	-10.9909952956513
2166	0.0408833522083805	3	1	15.2	0	22.8	1.26	122803812	-10.9454611879799
283	0.00534163835409589	4	1	22.8	0	30.4	1.26	14859822	-10.8687247210732
23	0.000434126085315213	5	1	30.4	0	38.76	1.26	1074767	-10.7521202359363
1415	0.0267081917704794	2	2	7.6	1.26	15.2	2.52	43607504	-10.3358549935244
2500	0.0471876179690449	1	2	0	1.26	7.6	2.52	166838784	-11.1084925279901
277	0.00522838807097018	3	2	15.2	1.26	22.8	2.52	11058624	-10.5947036278347
16	0.000302000755001888	4	2	22.8	1.26	30.4	2.52	1338144	-11.3342054149579
667	0.0125896564741412	1	3	0	2.52	7.6	3.78	53128320	-11.2854306314582
507	0.00956964892412231	2	3	7.6	2.52	15.2	3.78	13886420	-10.217910938538
149	0.00281238203095508	3	3	15.2	2.52	22.8	3.78	3521520	-10.070456966604
31	0.000585126462816157	3	4	15.2	3.78	22.8	5.04	1542636	-10.8150159949475
243	0.00458663646659117	2	4	7.6	3.78	15.2	5.04	6083081	-10.1279604256718
17	0.000320875802189505	4	3	22.8	2.52	30.4	3.78	426120	-10.1292629316689
2	0.0000377500943752359	4	4	22.8	3.78	30.4	5.04	186666	-11.4439290220483
311	0.00587013967534919	1	4	0	3.78	7.6	5.04	23273376	-11.2230276920777
74	0.00139675349188373	1	5	0	5.04	7.6	6.426	4599168	-11.0373208823311
37	0.000698376745941865	2	5	7.6	5.04	15.2	6.426	1202108	-10.3886693276464
5	0.0000943752359380898	3	5	15.2	5.04	22.8	6.426	304848	-11.0181306582768
