counts	probabilities	binlabel1	binlabel2	binrange_from1	binrange_from2	binrange_to1	binrange_to2	expected_probability	fold_probability
16233	0.306398640996602	1	3	0	29.4998794	7.6	29.8967626	895886208	-10.9185224765632
4621	0.0872215930539826	1	2	0	29.1029962	7.6	29.4998794	279399456	-11.0097866468856
1576	0.0297470743676859	2	2	7.6	29.1029962	15.2	29.4998794	73028061	-10.7437090520934
704	0.0132880332200831	3	2	15.2	29.1029962	22.8	29.4998794	18519516	-10.1775572967735
4801	0.0906191015477539	2	3	7.6	29.4998794	15.2	29.8967626	234162348	-10.7949457190984
14083	0.265817289543224	1	4	0	29.8967626	7.6	30.2936458	720086976	-10.8421588874806
3558	0.0671574178935447	2	4	7.6	29.8967626	15.2	30.2936458	188212806	-10.8761299592082
3413	0.0644205360513401	1	5	0	30.2936458	7.6	31.30433958	142851744	-10.6419709462703
189	0.0035673839184598	2	5	7.6	30.2936458	15.2	31.30433958	37337889	-12.1937721448727
501	0.0094563986409966	3	4	15.2	29.8967626	22.8	30.2936458	47729736	-11.4644590567694
20	0.000377500943752359	4	4	22.8	29.8967626	30.4	30.2936458	5775516	-12.573405887476
1390	0.026236315590789	3	3	15.2	29.4998794	22.8	29.8967626	59382288	-10.6624475319249
164	0.00309550773876935	4	3	22.8	29.4998794	30.4	29.8967626	7185528	-10.6877131334011
131	0.00247263118157795	4	2	22.8	29.1029962	30.4	29.4998794	2240946	-9.74721133290605
15	0.00028312570781427	5	2	30.4	29.1029962	38.76	29.4998794	162081	-9.28780128815396
8	0.000151000377500944	5	3	30.4	29.4998794	38.76	29.8967626	519708	-11.0815808526945
1298	0.0244998112495281	1	1	0	28.13199074	7.6	29.1029962	62326656	-10.779319860154
239	0.00451113627784069	2	1	7.6	28.13199074	15.2	29.1029962	16290636	-11.1296374702419
32	0.000604001510003775	3	1	15.2	28.13199074	22.8	29.1029962	4131216	-11.7683464497939
1	0.000018875047187618	3	5	15.2	30.2936458	22.8	31.30433958	9468684	-16.0635004903526
3	0.0000566251415628539	4	1	22.8	28.13199074	30.4	29.1029962	499896	-12.0235430671012
