counts	probabilities	binlabel1	binlabel2	binrange_from1	binrange_from2	binrange_to1	binrange_to2	expected_probability	fold_probability
7199	0.135881464703662	4	3	71.4	29.4998794	84.2	29.8967626	388493028	-10.8960883751957
10588	0.199848999622499	5	3	84.2	29.4998794	98.94	29.8967626	565058172	-10.8849626797558
2439	0.0460362400906002	4	2	71.4	29.1029962	84.2	29.4998794	121159071	-10.813271478331
4051	0.0764628161570404	5	2	84.2	29.1029962	98.94	29.4998794	176224329	-10.680549294782
3550	0.0670064175160438	3	3	58.6	29.4998794	71.4	29.8967626	174893040	-10.8049822625595
6266	0.118271045677614	4	4	71.4	29.8967626	84.2	30.2936458	312259266	-10.8164509099575
3062	0.0577953944884862	3	4	58.6	29.8967626	71.4	30.2936458	140573880	-10.7344201686159
7334	0.13842959607399	5	4	84.2	29.8967626	98.94	30.2936458	454177134	-11.0337214942762
1112	0.0209890524726312	4	5	71.4	30.2936458	84.2	31.30433958	61946379	-10.9278642391574
571	0.0107776519441299	3	5	58.6	30.2936458	71.4	31.30433958	27887220	-10.7962898676759
236	0.00445451113627784	2	5	45.8	30.2936458	58.6	31.30433958	9659643	-10.6196354439584
1654	0.0312193280483201	5	5	84.2	30.2936458	98.94	31.30433958	90100221	-10.9054812998221
542	0.0102302755756889	3	2	58.6	29.1029962	71.4	29.4998794	54543780	-11.5192482384711
1380	0.0260475651189128	5	1	84.2	28.13199074	98.94	29.1029962	39311004	-10.2571762594956
177	0.00334088335220838	4	1	71.4	28.13199074	84.2	29.1029962	27027396	-11.9362118436352
1251	0.0236126840317101	2	4	45.8	29.8967626	58.6	30.2936458	48692322	-10.5693334060188
15	0.00028312570781427	2	2	45.8	29.1029962	58.6	29.4998794	18893007	-14.0462522104608
1179	0.0222536806342016	2	3	45.8	29.4998794	58.6	29.8967626	60579876	-10.8470514161437
30	0.000566251415628539	1	5	32.34	30.2936458	45.8	31.30433958	1293477	-10.6716471175742
249	0.00469988674971687	1	4	32.34	29.8967626	45.8	30.2936458	6520158	-10.1729562702733
80	0.00151000377500944	1	3	32.34	29.4998794	45.8	29.8967626	8111964	-11.5268239322595
15	0.00028312570781427	3	1	58.6	28.13199074	71.4	29.1029962	12167280	-13.6062107384707
