counts	probabilities	binlabel1	binlabel2	binrange_from1	binrange_from2	binrange_to1	binrange_to2	expected_probability	fold_probability
4640	0.0875802189505474	1	1	25.8916	0	36.5	214.2	215933388	-10.7480108839776
16468	0.310834277085693	2	1	36.5	0	46.58	214.2	774029652	-10.7579463580079
52	0.000981502453756134	1	2	25.8916	214.2	36.5	428.4	18761918	-12.7960960165409
310	0.00585126462816157	2	2	36.5	214.2	46.58	428.4	67253522	-12.2874076493429
16449	0.310475651189128	3	1	46.58	0	56.66	214.2	871277880	-10.8774515554549
1554	0.0293318233295583	3	2	46.58	214.2	56.66	428.4	75703180	-10.7937431945238
1706	0.0322008305020763	4	2	56.66	214.2	66.74	428.4	43643243	-10.1496523006738
7960	0.150245375613439	4	1	56.66	0	66.74	214.2	502295838	-11.0525155439626
710	0.0134012835032088	3	3	46.58	428.4	56.66	642.6	33788960	-10.7703797098447
48	0.000906002265005663	2	3	36.5	428.4	46.58	642.6	30017584	-13.3460928903428
193	0.00364288410721027	3	4	46.58	642.6	56.66	856.8	19167280	-11.5060250276826
2	0.0000377500943752359	1	3	25.8916	428.4	36.5	642.6	8374096	-15.247506508991
782	0.0147602869007173	4	3	56.66	428.4	66.74	642.6	19479496	-10.1230182426087
34	0.000641751604379011	3	5	46.58	856.8	56.66	1092.42	3503900	-11.5430266672022
393	0.00741789354473386	4	4	56.66	642.6	66.74	856.8	11050028	-10.2441339079922
78	0.0014722536806342	4	5	56.66	856.8	66.74	1092.42	2020015	-10.1619066684028
426	0.00804077010192526	5	4	66.74	642.6	78.3564	856.8	1620212	-8.24362821657476
73	0.00137787844469611	5	5	66.74	856.8	78.3564	1092.42	296185	-8.30828009692665
242	0.00456776141940355	5	3	66.74	428.4	78.3564	642.6	2856184	-9.37605929997998
375	0.00707814269535674	5	2	66.74	214.2	78.3564	428.4	6399197	-9.74475704573763
485	0.00915439788599471	5	1	66.74	0	78.3564	214.2	73649202	-11.9306749748462
