counts	probabilities	binlabel1	binlabel2	binrange_from1	binrange_from2	binrange_to1	binrange_to2	expected_probability	fold_probability
1039	0.0196111740279351	1	3	25.8916	29.4998794	36.5	29.8967626	106065624	-11.5335545637569
391	0.00738014345035863	1	2	25.8916	29.1029962	36.5	29.4998794	33078618	-11.3456900897526
3607	0.068082295205738	2	2	36.5	29.1029962	46.58	29.4998794	118572822	-10.4004061805342
6291	0.118742921857305	2	3	36.5	29.4998794	46.58	29.8967626	380200296	-11.0093334469859
2080	0.0392600981502454	1	4	25.8916	29.8967626	36.5	30.2936458	85252428	-10.6210039819654
3852	0.0727066817667044	2	4	36.5	29.8967626	46.58	30.2936458	305593812	-11.2814195934425
1673	0.0315779539448849	2	5	36.5	30.2936458	46.58	31.30433958	60624078	-10.497828997872
1172	0.0221215553038883	1	5	25.8916	30.2936458	36.5	31.30433958	16912482	-9.5770955170221
7212	0.136126840317101	3	4	46.58	29.8967626	56.66	30.2936458	343988280	-10.7726165606666
8241	0.15554926387316	3	3	46.58	29.4998794	56.66	29.8967626	427968240	-10.8576825704218
2638	0.0497923744809362	3	2	46.58	29.1029962	56.66	29.4998794	133470180	-10.8316123067898
12	0.000226500566251416	1	1	25.8916	28.13199074	36.5	29.1029962	7378968	-13.3292376996121
1403	0.026481691204228	2	1	36.5	28.13199074	46.58	29.1029962	26450472	-9.84441648099745
4500	0.0849377123442809	4	4	56.66	29.8967626	66.74	30.2936458	198310878	-10.6935137725054
692	0.0130615326538316	3	5	46.58	30.2936458	56.66	31.30433958	68240820	-11.4989675218705
349	0.00658739146847867	4	2	56.66	29.1029962	66.74	29.4998794	76946193	-12.3035450211387
6017	0.113571158927897	4	3	56.66	29.4998794	66.74	29.8967626	246725724	-10.6214437732389
1008	0.0190260475651189	5	3	66.74	29.4998794	78.3564	29.8967626	36176196	-10.4881884428106
518	0.00977727444318611	5	4	66.74	29.8967626	78.3564	30.2936458	29077362	-10.935495248987
62	0.00117025292563231	5	2	66.74	29.1029962	78.3564	29.4998794	11282247	-12.1116066012786
53	0.00100037750094375	4	5	56.66	30.2936458	66.74	31.30433958	39341157	-13.51748986721
13	0.000245375613439034	5	5	66.74	30.2936458	78.3564	31.30433958	5768403	-13.0029564662833
157	0.00296338240845602	3	1	46.58	28.13199074	56.66	29.1029962	29773680	-12.1528895343809
